codigo_origen,accion,codigo_canonico,nota
pa_pnud_rblac_infosegura_v2_2022,crear_proyecto_historico,pa_pnud_rblac_infosegura_v2_2022,proyecto anterior al maestro actual; entra como histórico para no perder su costo
pa_pnud_rblac_juventud_v3_2023,alias,pa_rblac_juventud_v3_2023,"misma iniciativa, grafía distinta"
pa_rblac_ddhh_empre_eng_v1_2023,crear_proyecto_historico,pa_rblac_ddhh_empre_eng_v1_2023,proyecto anterior al maestro actual; entra como histórico para no perder su costo
pa_rblac_juventud_v2_2023,crear_proyecto_historico,pa_rblac_juventud_v2_2023,proyecto anterior al maestro actual; entra como histórico para no perder su costo
pa_rblac_juventud_v3_2023,crear_proyecto_historico,pa_rblac_juventud_v3_2023,proyecto anterior al maestro actual; entra como histórico para no perder su costo
pan_pnud_pymes-mujeres_v1_2022,alias,pa_pnud_pymes_mujeres_v1_2022,"misma iniciativa, grafía distinta"
pt_wge_acoso_v1_2025,crear_proyecto_historico,pt_wge_acoso_v1_2025,proyecto anterior al maestro actual; entra como histórico para no perder su costo
team_text_chanel,bolsa_contable,OPERACIONES,no es proyecto; overhead con regla explícita · revisar asiento original
us_p4c_women_power_2023,crear_proyecto_historico,us_p4c_women_power_2023,proyecto anterior al maestro actual; entra como histórico para no perder su costo
us_wwf_oecm_v1_2023,crear_proyecto_historico,us_wwf_oecm_v1_2023,proyecto anterior al maestro actual; entra como histórico para no perder su costo
us_wwf_safeguards_2023,crear_proyecto_historico,us_wwf_safeguards_2023,verificar si corresponde a gr_wwf_safeguards_v1_2023
ve_unicef_po_general_v2,alias,ven_unicef_po_general_2024,"misma iniciativa, grafía distinta"
ven_unicef_afiche_v1_2023,crear_proyecto_historico,ven_unicef_afiche_v1_2023,proyecto anterior al maestro actual; entra como histórico para no perder su costo
ven_unicef_atencion_inclusiva_26,alias,ven_unicef_atencion_inclusiva_2026,"misma iniciativa, grafía distinta"
ven_unicef_brandingoffice_2024,crear_proyecto_historico,ven_unicef_brandingoffice_2024,proyecto anterior al maestro actual; entra como histórico para no perder su costo
ven_unicef_eduacelerada_v1_2023,crear_proyecto_historico,ven_unicef_eduacelerada_v1_2023,proyecto anterior al maestro actual; entra como histórico para no perder su costo
ven_unicef_lta_avisual_v1_2023,crear_proyecto_historico,ven_unicef_lta_avisual_v1_2023,proyecto anterior al maestro actual; entra como histórico para no perder su costo
ven_unicef_lta_laaha_v1_2023,crear_proyecto_historico,ven_unicef_lta_laaha_v1_2023,proyecto anterior al maestro actual; entra como histórico para no perder su costo
ven_unicef_v_representante_2024,crear_proyecto_historico,ven_unicef_v_representante_2024,proyecto anterior al maestro actual; entra como histórico para no perder su costo
